26.928,61.074,40.956,74.624,2.542520548,2.452566404,1
30.033,63.997,38.904,72.801,2.48393804,2.427698143,1
26.917,61.074,37.03,71.114,2.997302709,2.382036725,1
30.426,65.136,38.418,71.565,2.64664049,2.445471314,1
28.25,61.189,38.418,72.801,2.848862077,2.402780421,1
29.275,62.879,38.29,73.686,2.773500981,2.471607933,1
25.53,61.189,42.274,76.608,2.951682189,2.430020576,1
28.673,62.354,43.363,74.745,2.448444872,2.433732146,1
23.72,57.031,43.854,77.619,2.581019724,2.5,1
27.277,59.47,43.229,77.619,2.581909107,2.533665938,1
27.255,60.101,43.299,78.179,2.425381254,2.439198566,1
26.94,58.57,42.614,74.982,2.33397144,2.579614654,1
31.759,63.97,40.515,73.179,2.711135151,2.411485501,1
31.759,64.537,38.29,71.565,2.955055489,2.395590429,1
33.906,66.644,38.29,70.346,2.533552622,2.412414812,1
31.608,66.161,35.803,69.905,2.855545504,2.437193912,1
34.743,67.109,38.29,71.966,2.812886199,2.375900768,1
30.033,63.435,36.552,70.71,2.993375038,2.293211731,1
30.828,67.479,36.714,70.71,2.616515593,2.393728536,1
32.171,66.801,37.666,72.408,2.677816393,2.349980082,1
30.426,64.592,36.552,70.71,2.745092529,2.392688917,1
30.7,65.136,37.666,73.686,3.032678406,2.368324841,1
33.906,68.875,38.904,73.179,2.637103472,2.400134804,1
28.355,62.241,34.992,65.898,2.656747227,2.463778699,1
30.964,65.136,34.992,70.71,2.722737898,2.437193912,1
30.311,65.136,36.085,71.996,2.684163506,2.34571424,1
32.593,65.659,37.03,69.444,2.914719238,2.383640734,1
30.033,62.85,35.91,70.71,2.685265515,2.357075065,1
31.759,65.659,36.714,69.905,2.998768827,2.435184849,1
31.504,65.136,38.66,73.686,2.384101052,2.461672005,1
30.033,62.301,37.03,70.71,2.771909171,2.294181144,1
31.097,63.997,36.87,71.565,2.807367038,2.356198064,1
32.412,67.286,38.29,74.055,2.580995634,2.376298866,1
29.358,62.85,35.91,70.253,2.780689393,2.391824975,1
31.504,66.297,36.552,70.71,2.528597499,2.39980498,1
32.829,68.429,37.666,73.686,2.636381538,2.374881806,1
33.476,68.429,38.157,75.324,2.696569495,2.351562492,1
31.759,67.964,36.87,71.565,2.745092529,2.392996682,1
30.033,63.435,36.384,71.565,2.845019103,2.310406471,1
